id,sessionid,T,sex,age,political,x1,x2,e1,e2,y1,y2,shareX
294,"JMTHA",1,1,18.9394,4,10,18,0,2.7,.7,2,.2592593
293,"JMTHA",3,2,18.9394,4,7,16,0,2.4,0,2.4,0
138,"LMDOH",3,2,18.9394,4,13,19,0,2.85,1,1.85,.3508772
72,"LMDOH",2,1,18.9394,4,18,22,0,3.3,1,2.3,.3030303
319,"JMTHA",1,2,18.9394,2,14,17,0,2.55,1,1.55,.3921569
117,"LMDOH",2,1,18.9394,3,12,22,0,3.3,0,3.3,0
185,"EXNFO",3,1,18.9394,5,16,19,0,2.85,1,1.85,.3508772
107,"LMDOH",4,2,18.9394,4,21,17,0,3.45,1.7,1.75,.4927536
284,"JMTHA",1,2,18.9394,2,10,22,0,3.3,1,2.3,.3030303
167,"EXNFO",4,1,18.9394,2,18,15,0,3.6,1.8,1.8,.5
199,"EXNFO",3,1,18.9394,5,0,12,0,1.8,0,1.8,0
343,"JMTHA",4,1,18.9394,3,18,20,1.95,1.95,1.95,1.95,.5
115,"LMDOH",2,2,18.9394,4,16,17,0,2.55,0,2.55,0
102,"LMDOH",4,2,18.9394,1,15,5,0,3.15,1.75,1.4,.5555555
81,"LMDOH",3,1,18.9394,4,13,19,0,2.85,1,1.85,.3508772
109,"LMDOH",3,1,18.9394,4,16,18,0,2.7,0,2.7,0
65,"CELBZ",3,1,18.9394,4,18,19,0,2.85,1,1.85,.3508772
205,"EXNFO",4,1,18.9394,4,20,21,0,2.55,1.2,1.35,.4705883
261,"YGNEO",2,1,18.9394,4,18,21,0,3.15,0,3.15,0
278,"YGNEO",3,1,18.9394,2,17,18,0,2.7,1.35,1.35,.5
123,"LMDOH",1,1,18.9394,4,15,20,0,3,0,3,0
105,"LMDOH",4,1,18.9394,4,17,11,0,3.15,1,2.15,.3174603
113,"LMDOH",2,1,18.9394,5,15,16,0,2.4,2,.4000001,.8333333
279,"YGNEO",3,2,18.9394,3,11,14,0,2.1,1,1.1,.4761905
277,"YGNEO",3,1,18.9394,5,15,20,0,3,1,2,.3333333
276,"YGNEO",2,1,18.9394,3,16,19,0,2.85,1,1.85,.3508772
91,"LMDOH",3,1,18.9394,5,11,15,0,2.25,.5,1.75,.2222222
176,"EXNFO",3,1,18.9394,4,12,19,0,2.85,0,2.85,0
103,"LMDOH",4,2,18.9394,4,17,13,0,3,0,3,0
131,"LMDOH",3,2,18.9394,3,18,24,0,3.6,1,2.6,.2777778
116,"LMDOH",3,2,18.9394,2,17,19,0,2.85,1.2,1.65,.4210527
178,"EXNFO",4,2,18.9394,4,14,22,0,3,1,2,.3333333
334,"JMTHA",3,2,18.9394,4,14,22,0,3.3,0,3.3,0
99,"LMDOH",1,1,20,4,14,19,0,2.85,1,1.85,.3508772
12,"CELBZ",3,2,20,3,13,18,0,2.7,0,2.7,0
305,"JMTHA",1,2,20,3,9,16,0,2.4,0,2.4,0
192,"EXNFO",3,1,20,4,16,24,0,3.6,0,3.6,0
126,"LMDOH",4,2,20,4,22,18,3,3,3,3,.5
257,"YGNEO",2,1,20,4,17,17,2.55,2.55,2.55,2.55,.5
317,"JMTHA",1,2,20,4,16,19,0,2.85,1.4,1.45,.4912281
17,"CELBZ",1,2,20,4,14,17,0,2.55,1,1.55,.3921569
32,"CELBZ",3,2,20,3,18,20,0,3,1,2,.3333333
88,"LMDOH",3,1,20,5,14,21,0,3.15,0,3.15,0
112,"LMDOH",4,1,20,4,22,18,0,2.55,1,1.55,.3921569
306,"JMTHA",3,1,20,4,19,19,2.85,2.85,2.85,2.85,.5
80,"LMDOH",2,2,20,4,20,21,0,3.15,1.25,1.9,.3968254
30,"CELBZ",4,2,20,4,17,0,2.7,2.7,2.7,2.7,.5
323,"JMTHA",2,1,20,2,17,24,0,3.6,0,3.6,0
58,"CELBZ",1,2,20,2,7,12,0,1.8,0,1.8,0
307,"JMTHA",3,1,20,4,20,20,3,3,3,3,.5
73,"LMDOH",3,1,20,4,16,23,0,3.45,1,2.45,.2898551
104,"LMDOH",2,2,20,4,24,24,3.6,3.6,3.6,3.6,.5
269,"YGNEO",3,2,20,4,14,18,0,2.7,1,1.7,.3703704
350,"JMTHA",2,1,20,4,16,20,0,3,0,3,0
270,"YGNEO",4,1,20,4,8,18,0,3.6,1.8,1.8,.5
265,"YGNEO",1,2,20,4,18,21,0,3.15,0,3.15,0
308,"JMTHA",4,1,20,4,11,22,0,3.15,1.5,1.65,.4761904
125,"LMDOH",4,1,20,2,11,16,0,3.45,1.725,1.725,.5
145,"EXNFO",4,1,20,4,22,7,0,2.7,0,2.7,0
188,"EXNFO",1,2,20,4,11,15,0,2.25,1,1.25,.4444444
249,"YGNEO",2,2,20,3,18,19,0,2.85,0,2.85,0
266,"YGNEO",3,1,20,4,9,18,0,2.7,.9,1.8,.3333333
41,"CELBZ",3,1,20,3,21,22,0,3.3,1,2.3,.3030303
296,"JMTHA",2,1,20,4,14,20,0,3,1.5,1.5,.5
90,"LMDOH",3,1,20,4,14,16,0,2.4,0,2.4,0
222,"YGNEO",1,1,20,4,16,20,0,3,1,2,.3333333
